foreign_principal_name,foreign_principal_country
Outlook Energy Investments LLC,UNITED ARAB EMIRATES
Delvina Gas Company,ALBANIA
State Oil Company of the Azerbaijan Republic (SOCAR),AZERBAIJAN
"All-Ukrainian Industry Association ""Federation of Employers of the Oil and Gas Industry""",UKRAINE
Ministry of Energy of the Kingdom of Saudi Arabia,SAUDI ARABIA
"Primary Trade Union Organization of State Enterprise National Nuclear Energy Generating Company ""Energoatom""",UKRAINE
African Energy Chamber,SOUTH AFRICA
"Ministry of Trade, Industry and Energy of the Republic of Korea (Korean MOTIE)","KOREA, SOUTH"
Union of Oil and Gas Producers of Russia,RUSSIA
Abu Dhabi Future Energy Company PJSC - Masdar,UNITED ARAB EMIRATES
RoPower Nuclear SA,ROMANIA